instruction,ltl,pattern_type,props
eventually reach c and b,& F c F b,visit,"['c', 'b']"
eventually reach c and d,& F c F d,visit,"['c', 'd']"
eventually reach c and h,& F c F h,visit,"['c', 'h']"
eventually reach d and a,& F d F a,visit,"['d', 'a']"
eventually reach d and b,& F d F b,visit,"['d', 'b']"
eventually reach d and c,& F d F c,visit,"['d', 'c']"
eventually reach d and h,& F d F h,visit,"['d', 'h']"
eventually reach h and a,& F h F a,visit,"['h', 'a']"
eventually reach h and b,& F h F b,visit,"['h', 'b']"
eventually reach h and c,& F h F c,visit,"['h', 'c']"
eventually reach h and d,& F h F d,visit,"['h', 'd']"
go to a b and c,& F a & F b F c,visit,"['a', 'b', 'c']"
go to a b and d,& F a & F b F d,visit,"['a', 'b', 'd']"
go to a b and h,& F a & F b F h,visit,"['a', 'b', 'h']"
go to a c and b,& F a & F c F b,visit,"['a', 'c', 'b']"
go to a c and d,& F a & F c F d,visit,"['a', 'c', 'd']"
go to a c and h,& F a & F c F h,visit,"['a', 'c', 'h']"
go to a d and b,& F a & F d F b,visit,"['a', 'd', 'b']"
go to a d and c,& F a & F d F c,visit,"['a', 'd', 'c']"
go to a d and h,& F a & F d F h,visit,"['a', 'd', 'h']"
go to a h and b,& F a & F h F b,visit,"['a', 'h', 'b']"
go to a h and c,& F a & F h F c,visit,"['a', 'h', 'c']"
go to a h and d,& F a & F h F d,visit,"['a', 'h', 'd']"
go to b a and c,& F b & F a F c,visit,"['b', 'a', 'c']"
go to b a and d,& F b & F a F d,visit,"['b', 'a', 'd']"
go to b a and h,& F b & F a F h,visit,"['b', 'a', 'h']"
go to b c and a,& F b & F c F a,visit,"['b', 'c', 'a']"
go to b c and d,& F b & F c F d,visit,"['b', 'c', 'd']"
go to b c and h,& F b & F c F h,visit,"['b', 'c', 'h']"
go to b d and a,& F b & F d F a,visit,"['b', 'd', 'a']"
go to b d and c,& F b & F d F c,visit,"['b', 'd', 'c']"
go to b d and h,& F b & F d F h,visit,"['b', 'd', 'h']"
go to b h and a,& F b & F h F a,visit,"['b', 'h', 'a']"
go to b h and c,& F b & F h F c,visit,"['b', 'h', 'c']"
go to b h and d,& F b & F h F d,visit,"['b', 'h', 'd']"
go to c a and b,& F c & F a F b,visit,"['c', 'a', 'b']"
go to c a and d,& F c & F a F d,visit,"['c', 'a', 'd']"
go to c a and h,& F c & F a F h,visit,"['c', 'a', 'h']"
go to c b and a,& F c & F b F a,visit,"['c', 'b', 'a']"
go to c b and d,& F c & F b F d,visit,"['c', 'b', 'd']"
go to c b and h,& F c & F b F h,visit,"['c', 'b', 'h']"
go to c d and a,& F c & F d F a,visit,"['c', 'd', 'a']"
go to c d and b,& F c & F d F b,visit,"['c', 'd', 'b']"
go to c d and h,& F c & F d F h,visit,"['c', 'd', 'h']"
go to c h and a,& F c & F h F a,visit,"['c', 'h', 'a']"
go to c h and b,& F c & F h F b,visit,"['c', 'h', 'b']"
go to c h and d,& F c & F h F d,visit,"['c', 'h', 'd']"
go to d a and b,& F d & F a F b,visit,"['d', 'a', 'b']"
go to d a and c,& F d & F a F c,visit,"['d', 'a', 'c']"
go to d a and h,& F d & F a F h,visit,"['d', 'a', 'h']"
go to d b and a,& F d & F b F a,visit,"['d', 'b', 'a']"
go to d b and c,& F d & F b F c,visit,"['d', 'b', 'c']"
go to d b and h,& F d & F b F h,visit,"['d', 'b', 'h']"
go to d c and a,& F d & F c F a,visit,"['d', 'c', 'a']"
go to d c and b,& F d & F c F b,visit,"['d', 'c', 'b']"
go to d c and h,& F d & F c F h,visit,"['d', 'c', 'h']"
go to d h and a,& F d & F h F a,visit,"['d', 'h', 'a']"
go to d h and b,& F d & F h F b,visit,"['d', 'h', 'b']"
go to d h and c,& F d & F h F c,visit,"['d', 'h', 'c']"
go to h a and b,& F h & F a F b,visit,"['h', 'a', 'b']"
go to h a and c,& F h & F a F c,visit,"['h', 'a', 'c']"
go to h a and d,& F h & F a F d,visit,"['h', 'a', 'd']"
go to h b and a,& F h & F b F a,visit,"['h', 'b', 'a']"
go to h b and c,& F h & F b F c,visit,"['h', 'b', 'c']"
go to h b and d,& F h & F b F d,visit,"['h', 'b', 'd']"
go to h c and a,& F h & F c F a,visit,"['h', 'c', 'a']"
go to h c and b,& F h & F c F b,visit,"['h', 'c', 'b']"
go to h c and d,& F h & F c F d,visit,"['h', 'c', 'd']"
go to h d and a,& F h & F d F a,visit,"['h', 'd', 'a']"
go to h d and b,& F h & F d F b,visit,"['h', 'd', 'b']"
go to h d and c,& F h & F d F c,visit,"['h', 'd', 'c']"
visit c a and b in no specific order,& F a & F b F c,visit,"['a', 'b', 'c']"
visit d a and b in no specific order,& F a & F b F d,visit,"['a', 'b', 'd']"
visit h a and b in no specific order,& F a & F b F h,visit,"['a', 'b', 'h']"
visit b a and c in no specific order,& F a & F c F b,visit,"['a', 'c', 'b']"
visit d a and c in no specific order,& F a & F c F d,visit,"['a', 'c', 'd']"
visit h a and c in no specific order,& F a & F c F h,visit,"['a', 'c', 'h']"
visit b a and d in no specific order,& F a & F d F b,visit,"['a', 'd', 'b']"
visit c a and d in no specific order,& F a & F d F c,visit,"['a', 'd', 'c']"
visit h a and d in no specific order,& F a & F d F h,visit,"['a', 'd', 'h']"
visit b a and h in no specific order,& F a & F h F b,visit,"['a', 'h', 'b']"
visit c a and h in no specific order,& F a & F h F c,visit,"['a', 'h', 'c']"
visit d a and h in no specific order,& F a & F h F d,visit,"['a', 'h', 'd']"
visit c b and a in no specific order,& F b & F a F c,visit,"['b', 'a', 'c']"
visit d b and a in no specific order,& F b & F a F d,visit,"['b', 'a', 'd']"
visit h b and a in no specific order,& F b & F a F h,visit,"['b', 'a', 'h']"
visit a b and c in no specific order,& F b & F c F a,visit,"['b', 'c', 'a']"
visit d b and c in no specific order,& F b & F c F d,visit,"['b', 'c', 'd']"
visit h b and c in no specific order,& F b & F c F h,visit,"['b', 'c', 'h']"
visit a b and d in no specific order,& F b & F d F a,visit,"['b', 'd', 'a']"
visit c b and d in no specific order,& F b & F d F c,visit,"['b', 'd', 'c']"
visit h b and d in no specific order,& F b & F d F h,visit,"['b', 'd', 'h']"
visit a b and h in no specific order,& F b & F h F a,visit,"['b', 'h', 'a']"
visit c b and h in no specific order,& F b & F h F c,visit,"['b', 'h', 'c']"
visit d b and h in no specific order,& F b & F h F d,visit,"['b', 'h', 'd']"
visit b c and a in no specific order,& F c & F a F b,visit,"['c', 'a', 'b']"
visit d c and a in no specific order,& F c & F a F d,visit,"['c', 'a', 'd']"
visit h c and a in no specific order,& F c & F a F h,visit,"['c', 'a', 'h']"
visit a c and b in no specific order,& F c & F b F a,visit,"['c', 'b', 'a']"
visit d c and b in no specific order,& F c & F b F d,visit,"['c', 'b', 'd']"
visit h c and b in no specific order,& F c & F b F h,visit,"['c', 'b', 'h']"
visit a c and d in no specific order,& F c & F d F a,visit,"['c', 'd', 'a']"
visit b c and d in no specific order,& F c & F d F b,visit,"['c', 'd', 'b']"
visit h c and d in no specific order,& F c & F d F h,visit,"['c', 'd', 'h']"
visit a c and h in no specific order,& F c & F h F a,visit,"['c', 'h', 'a']"
visit b c and h in no specific order,& F c & F h F b,visit,"['c', 'h', 'b']"
visit d c and h in no specific order,& F c & F h F d,visit,"['c', 'h', 'd']"
visit b d and a in no specific order,& F d & F a F b,visit,"['d', 'a', 'b']"
visit c d and a in no specific order,& F d & F a F c,visit,"['d', 'a', 'c']"
visit h d and a in no specific order,& F d & F a F h,visit,"['d', 'a', 'h']"
visit a d and b in no specific order,& F d & F b F a,visit,"['d', 'b', 'a']"
visit c d and b in no specific order,& F d & F b F c,visit,"['d', 'b', 'c']"
visit h d and b in no specific order,& F d & F b F h,visit,"['d', 'b', 'h']"
visit a d and c in no specific order,& F d & F c F a,visit,"['d', 'c', 'a']"
visit b d and c in no specific order,& F d & F c F b,visit,"['d', 'c', 'b']"
visit h d and c in no specific order,& F d & F c F h,visit,"['d', 'c', 'h']"
visit a d and h in no specific order,& F d & F h F a,visit,"['d', 'h', 'a']"
visit b d and h in no specific order,& F d & F h F b,visit,"['d', 'h', 'b']"
visit c d and h in no specific order,& F d & F h F c,visit,"['d', 'h', 'c']"
visit b h and a in no specific order,& F h & F a F b,visit,"['h', 'a', 'b']"
visit c h and a in no specific order,& F h & F a F c,visit,"['h', 'a', 'c']"
visit d h and a in no specific order,& F h & F a F d,visit,"['h', 'a', 'd']"
visit a h and b in no specific order,& F h & F b F a,visit,"['h', 'b', 'a']"
visit c h and b in no specific order,& F h & F b F c,visit,"['h', 'b', 'c']"
visit d h and b in no specific order,& F h & F b F d,visit,"['h', 'b', 'd']"
visit a h and c in no specific order,& F h & F c F a,visit,"['h', 'c', 'a']"
visit b h and c in no specific order,& F h & F c F b,visit,"['h', 'c', 'b']"
visit d h and c in no specific order,& F h & F c F d,visit,"['h', 'c', 'd']"
visit a h and d in no specific order,& F h & F d F a,visit,"['h', 'd', 'a']"
visit b h and d in no specific order,& F h & F d F b,visit,"['h', 'd', 'b']"
visit c h and d in no specific order,& F h & F d F c,visit,"['h', 'd', 'c']"
eventually reach a c and b,& F a & F b F c,visit,"['a', 'b', 'c']"
eventually reach a d and b,& F a & F b F d,visit,"['a', 'b', 'd']"
eventually reach a h and b,& F a & F b F h,visit,"['a', 'b', 'h']"
eventually reach a b and c,& F a & F c F b,visit,"['a', 'c', 'b']"
eventually reach a d and c,& F a & F c F d,visit,"['a', 'c', 'd']"
eventually reach a h and c,& F a & F c F h,visit,"['a', 'c', 'h']"
eventually reach a b and d,& F a & F d F b,visit,"['a', 'd', 'b']"
eventually reach a c and d,& F a & F d F c,visit,"['a', 'd', 'c']"
eventually reach a h and d,& F a & F d F h,visit,"['a', 'd', 'h']"
eventually reach a b and h,& F a & F h F b,visit,"['a', 'h', 'b']"
eventually reach a c and h,& F a & F h F c,visit,"['a', 'h', 'c']"
eventually reach a d and h,& F a & F h F d,visit,"['a', 'h', 'd']"
eventually reach b c and a,& F b & F a F c,visit,"['b', 'a', 'c']"
eventually reach b d and a,& F b & F a F d,visit,"['b', 'a', 'd']"
eventually reach b h and a,& F b & F a F h,visit,"['b', 'a', 'h']"
eventually reach b a and c,& F b & F c F a,visit,"['b', 'c', 'a']"
eventually reach b d and c,& F b & F c F d,visit,"['b', 'c', 'd']"
eventually reach b h and c,& F b & F c F h,visit,"['b', 'c', 'h']"
eventually reach b a and d,& F b & F d F a,visit,"['b', 'd', 'a']"
eventually reach b c and d,& F b & F d F c,visit,"['b', 'd', 'c']"
eventually reach b h and d,& F b & F d F h,visit,"['b', 'd', 'h']"
eventually reach b a and h,& F b & F h F a,visit,"['b', 'h', 'a']"
eventually reach b c and h,& F b & F h F c,visit,"['b', 'h', 'c']"
eventually reach b d and h,& F b & F h F d,visit,"['b', 'h', 'd']"
eventually reach c b and a,& F c & F a F b,visit,"['c', 'a', 'b']"
eventually reach c d and a,& F c & F a F d,visit,"['c', 'a', 'd']"
eventually reach c h and a,& F c & F a F h,visit,"['c', 'a', 'h']"
eventually reach c a and b,& F c & F b F a,visit,"['c', 'b', 'a']"
eventually reach c d and b,& F c & F b F d,visit,"['c', 'b', 'd']"
eventually reach c h and b,& F c & F b F h,visit,"['c', 'b', 'h']"
eventually reach c a and d,& F c & F d F a,visit,"['c', 'd', 'a']"
eventually reach c b and d,& F c & F d F b,visit,"['c', 'd', 'b']"
eventually reach c h and d,& F c & F d F h,visit,"['c', 'd', 'h']"
eventually reach c a and h,& F c & F h F a,visit,"['c', 'h', 'a']"
eventually reach c b and h,& F c & F h F b,visit,"['c', 'h', 'b']"
eventually reach c d and h,& F c & F h F d,visit,"['c', 'h', 'd']"
eventually reach d b and a,& F d & F a F b,visit,"['d', 'a', 'b']"
eventually reach d c and a,& F d & F a F c,visit,"['d', 'a', 'c']"
eventually reach d h and a,& F d & F a F h,visit,"['d', 'a', 'h']"
eventually reach d a and b,& F d & F b F a,visit,"['d', 'b', 'a']"
eventually reach d c and b,& F d & F b F c,visit,"['d', 'b', 'c']"
eventually reach d h and b,& F d & F b F h,visit,"['d', 'b', 'h']"
eventually reach d a and c,& F d & F c F a,visit,"['d', 'c', 'a']"
eventually reach d b and c,& F d & F c F b,visit,"['d', 'c', 'b']"
eventually reach d h and c,& F d & F c F h,visit,"['d', 'c', 'h']"
eventually reach d a and h,& F d & F h F a,visit,"['d', 'h', 'a']"
eventually reach d b and h,& F d & F h F b,visit,"['d', 'h', 'b']"
eventually reach d c and h,& F d & F h F c,visit,"['d', 'h', 'c']"
eventually reach h b and a,& F h & F a F b,visit,"['h', 'a', 'b']"
eventually reach h c and a,& F h & F a F c,visit,"['h', 'a', 'c']"
eventually reach h d and a,& F h & F a F d,visit,"['h', 'a', 'd']"
eventually reach h a and b,& F h & F b F a,visit,"['h', 'b', 'a']"
eventually reach h c and b,& F h & F b F c,visit,"['h', 'b', 'c']"
eventually reach h d and b,& F h & F b F d,visit,"['h', 'b', 'd']"
eventually reach h a and c,& F h & F c F a,visit,"['h', 'c', 'a']"
eventually reach h b and c,& F h & F c F b,visit,"['h', 'c', 'b']"
eventually reach h d and c,& F h & F c F d,visit,"['h', 'c', 'd']"
eventually reach h a and d,& F h & F d F a,visit,"['h', 'd', 'a']"
eventually reach h b and d,& F h & F d F b,visit,"['h', 'd', 'b']"
eventually reach h c and d,& F h & F d F c,visit,"['h', 'd', 'c']"
visit b a c and d,& F a & F b & F c F d,visit,"['a', 'b', 'c', 'd']"
visit b a c and h,& F a & F b & F c F h,visit,"['a', 'b', 'c', 'h']"
visit b a d and c,& F a & F b & F d F c,visit,"['a', 'b', 'd', 'c']"
visit b a d and h,& F a & F b & F d F h,visit,"['a', 'b', 'd', 'h']"
visit b a h and c,& F a & F b & F h F c,visit,"['a', 'b', 'h', 'c']"
visit b a h and d,& F a & F b & F h F d,visit,"['a', 'b', 'h', 'd']"
visit c a b and d,& F a & F c & F b F d,visit,"['a', 'c', 'b', 'd']"
visit c a b and h,& F a & F c & F b F h,visit,"['a', 'c', 'b', 'h']"
visit c a d and b,& F a & F c & F d F b,visit,"['a', 'c', 'd', 'b']"
visit c a d and h,& F a & F c & F d F h,visit,"['a', 'c', 'd', 'h']"
visit c a h and b,& F a & F c & F h F b,visit,"['a', 'c', 'h', 'b']"
visit c a h and d,& F a & F c & F h F d,visit,"['a', 'c', 'h', 'd']"
visit d a b and c,& F a & F d & F b F c,visit,"['a', 'd', 'b', 'c']"
visit d a b and h,& F a & F d & F b F h,visit,"['a', 'd', 'b', 'h']"
visit d a c and b,& F a & F d & F c F b,visit,"['a', 'd', 'c', 'b']"
visit d a c and h,& F a & F d & F c F h,visit,"['a', 'd', 'c', 'h']"
visit d a h and b,& F a & F d & F h F b,visit,"['a', 'd', 'h', 'b']"
visit d a h and c,& F a & F d & F h F c,visit,"['a', 'd', 'h', 'c']"
visit h a b and c,& F a & F h & F b F c,visit,"['a', 'h', 'b', 'c']"
visit h a b and d,& F a & F h & F b F d,visit,"['a', 'h', 'b', 'd']"
visit h a c and b,& F a & F h & F c F b,visit,"['a', 'h', 'c', 'b']"
visit h a c and d,& F a & F h & F c F d,visit,"['a', 'h', 'c', 'd']"
visit h a d and b,& F a & F h & F d F b,visit,"['a', 'h', 'd', 'b']"
visit h a d and c,& F a & F h & F d F c,visit,"['a', 'h', 'd', 'c']"
visit a b c and d,& F b & F a & F c F d,visit,"['b', 'a', 'c', 'd']"
visit a b c and h,& F b & F a & F c F h,visit,"['b', 'a', 'c', 'h']"
visit a b d and c,& F b & F a & F d F c,visit,"['b', 'a', 'd', 'c']"
visit a b d and h,& F b & F a & F d F h,visit,"['b', 'a', 'd', 'h']"
visit a b h and c,& F b & F a & F h F c,visit,"['b', 'a', 'h', 'c']"
visit a b h and d,& F b & F a & F h F d,visit,"['b', 'a', 'h', 'd']"
visit c b a and d,& F b & F c & F a F d,visit,"['b', 'c', 'a', 'd']"
visit c b a and h,& F b & F c & F a F h,visit,"['b', 'c', 'a', 'h']"
visit c b d and a,& F b & F c & F d F a,visit,"['b', 'c', 'd', 'a']"
visit c b d and h,& F b & F c & F d F h,visit,"['b', 'c', 'd', 'h']"
visit c b h and a,& F b & F c & F h F a,visit,"['b', 'c', 'h', 'a']"
visit c b h and d,& F b & F c & F h F d,visit,"['b', 'c', 'h', 'd']"
visit d b a and c,& F b & F d & F a F c,visit,"['b', 'd', 'a', 'c']"
visit d b a and h,& F b & F d & F a F h,visit,"['b', 'd', 'a', 'h']"
visit d b c and a,& F b & F d & F c F a,visit,"['b', 'd', 'c', 'a']"
visit d b c and h,& F b & F d & F c F h,visit,"['b', 'd', 'c', 'h']"
visit d b h and a,& F b & F d & F h F a,visit,"['b', 'd', 'h', 'a']"
visit d b h and c,& F b & F d & F h F c,visit,"['b', 'd', 'h', 'c']"
visit h b a and c,& F b & F h & F a F c,visit,"['b', 'h', 'a', 'c']"
visit h b a and d,& F b & F h & F a F d,visit,"['b', 'h', 'a', 'd']"
visit h b c and a,& F b & F h & F c F a,visit,"['b', 'h', 'c', 'a']"
visit h b c and d,& F b & F h & F c F d,visit,"['b', 'h', 'c', 'd']"
visit h b d and a,& F b & F h & F d F a,visit,"['b', 'h', 'd', 'a']"
visit h b d and c,& F b & F h & F d F c,visit,"['b', 'h', 'd', 'c']"
visit a c b and d,& F c & F a & F b F d,visit,"['c', 'a', 'b', 'd']"
visit a c b and h,& F c & F a & F b F h,visit,"['c', 'a', 'b', 'h']"
visit a c d and b,& F c & F a & F d F b,visit,"['c', 'a', 'd', 'b']"
visit a c d and h,& F c & F a & F d F h,visit,"['c', 'a', 'd', 'h']"
visit a c h and b,& F c & F a & F h F b,visit,"['c', 'a', 'h', 'b']"
visit a c h and d,& F c & F a & F h F d,visit,"['c', 'a', 'h', 'd']"
visit b c a and d,& F c & F b & F a F d,visit,"['c', 'b', 'a', 'd']"
visit b c a and h,& F c & F b & F a F h,visit,"['c', 'b', 'a', 'h']"
visit b c d and a,& F c & F b & F d F a,visit,"['c', 'b', 'd', 'a']"
visit b c d and h,& F c & F b & F d F h,visit,"['c', 'b', 'd', 'h']"
visit b c h and a,& F c & F b & F h F a,visit,"['c', 'b', 'h', 'a']"
visit b c h and d,& F c & F b & F h F d,visit,"['c', 'b', 'h', 'd']"
visit d c a and b,& F c & F d & F a F b,visit,"['c', 'd', 'a', 'b']"
visit d c a and h,& F c & F d & F a F h,visit,"['c', 'd', 'a', 'h']"
visit d c b and a,& F c & F d & F b F a,visit,"['c', 'd', 'b', 'a']"
visit d c b and h,& F c & F d & F b F h,visit,"['c', 'd', 'b', 'h']"
visit d c h and a,& F c & F d & F h F a,visit,"['c', 'd', 'h', 'a']"
visit d c h and b,& F c & F d & F h F b,visit,"['c', 'd', 'h', 'b']"
visit h c a and b,& F c & F h & F a F b,visit,"['c', 'h', 'a', 'b']"
visit h c a and d,& F c & F h & F a F d,visit,"['c', 'h', 'a', 'd']"
visit h c b and a,& F c & F h & F b F a,visit,"['c', 'h', 'b', 'a']"
visit h c b and d,& F c & F h & F b F d,visit,"['c', 'h', 'b', 'd']"
visit h c d and a,& F c & F h & F d F a,visit,"['c', 'h', 'd', 'a']"
visit h c d and b,& F c & F h & F d F b,visit,"['c', 'h', 'd', 'b']"
visit a d b and c,& F d & F a & F b F c,visit,"['d', 'a', 'b', 'c']"
visit a d b and h,& F d & F a & F b F h,visit,"['d', 'a', 'b', 'h']"
visit a d c and b,& F d & F a & F c F b,visit,"['d', 'a', 'c', 'b']"
visit a d c and h,& F d & F a & F c F h,visit,"['d', 'a', 'c', 'h']"
visit a d h and b,& F d & F a & F h F b,visit,"['d', 'a', 'h', 'b']"
visit a d h and c,& F d & F a & F h F c,visit,"['d', 'a', 'h', 'c']"
visit b d a and c,& F d & F b & F a F c,visit,"['d', 'b', 'a', 'c']"
visit b d a and h,& F d & F b & F a F h,visit,"['d', 'b', 'a', 'h']"
visit b d c and a,& F d & F b & F c F a,visit,"['d', 'b', 'c', 'a']"
visit b d c and h,& F d & F b & F c F h,visit,"['d', 'b', 'c', 'h']"
visit b d h and a,& F d & F b & F h F a,visit,"['d', 'b', 'h', 'a']"
visit b d h and c,& F d & F b & F h F c,visit,"['d', 'b', 'h', 'c']"
visit c d a and b,& F d & F c & F a F b,visit,"['d', 'c', 'a', 'b']"
visit c d a and h,& F d & F c & F a F h,visit,"['d', 'c', 'a', 'h']"
visit c d b and a,& F d & F c & F b F a,visit,"['d', 'c', 'b', 'a']"
visit c d b and h,& F d & F c & F b F h,visit,"['d', 'c', 'b', 'h']"
visit c d h and a,& F d & F c & F h F a,visit,"['d', 'c', 'h', 'a']"
visit c d h and b,& F d & F c & F h F b,visit,"['d', 'c', 'h', 'b']"
visit h d a and b,& F d & F h & F a F b,visit,"['d', 'h', 'a', 'b']"
visit h d a and c,& F d & F h & F a F c,visit,"['d', 'h', 'a', 'c']"
visit h d b and a,& F d & F h & F b F a,visit,"['d', 'h', 'b', 'a']"
visit h d b and c,& F d & F h & F b F c,visit,"['d', 'h', 'b', 'c']"
visit h d c and a,& F d & F h & F c F a,visit,"['d', 'h', 'c', 'a']"
visit h d c and b,& F d & F h & F c F b,visit,"['d', 'h', 'c', 'b']"
visit a h b and c,& F h & F a & F b F c,visit,"['h', 'a', 'b', 'c']"
visit a h b and d,& F h & F a & F b F d,visit,"['h', 'a', 'b', 'd']"
visit a h c and b,& F h & F a & F c F b,visit,"['h', 'a', 'c', 'b']"
visit a h c and d,& F h & F a & F c F d,visit,"['h', 'a', 'c', 'd']"
visit a h d and b,& F h & F a & F d F b,visit,"['h', 'a', 'd', 'b']"
visit a h d and c,& F h & F a & F d F c,visit,"['h', 'a', 'd', 'c']"
visit b h a and c,& F h & F b & F a F c,visit,"['h', 'b', 'a', 'c']"
visit b h a and d,& F h & F b & F a F d,visit,"['h', 'b', 'a', 'd']"
visit b h c and a,& F h & F b & F c F a,visit,"['h', 'b', 'c', 'a']"
visit b h c and d,& F h & F b & F c F d,visit,"['h', 'b', 'c', 'd']"
visit b h d and a,& F h & F b & F d F a,visit,"['h', 'b', 'd', 'a']"
visit b h d and c,& F h & F b & F d F c,visit,"['h', 'b', 'd', 'c']"
visit c h a and b,& F h & F c & F a F b,visit,"['h', 'c', 'a', 'b']"
visit c h a and d,& F h & F c & F a F d,visit,"['h', 'c', 'a', 'd']"
visit c h b and a,& F h & F c & F b F a,visit,"['h', 'c', 'b', 'a']"
visit c h b and d,& F h & F c & F b F d,visit,"['h', 'c', 'b', 'd']"
visit c h d and a,& F h & F c & F d F a,visit,"['h', 'c', 'd', 'a']"
visit c h d and b,& F h & F c & F d F b,visit,"['h', 'c', 'd', 'b']"
visit d h a and b,& F h & F d & F a F b,visit,"['h', 'd', 'a', 'b']"
visit d h a and c,& F h & F d & F a F c,visit,"['h', 'd', 'a', 'c']"
visit d h b and a,& F h & F d & F b F a,visit,"['h', 'd', 'b', 'a']"
visit d h b and c,& F h & F d & F b F c,visit,"['h', 'd', 'b', 'c']"
visit d h c and a,& F h & F d & F c F a,visit,"['h', 'd', 'c', 'a']"
visit d h c and b,& F h & F d & F c F b,visit,"['h', 'd', 'c', 'b']"
go to four locations a b d and c,& F a & F b & F c F d,visit,"['a', 'b', 'c', 'd']"
go to four locations a b h and c,& F a & F b & F c F h,visit,"['a', 'b', 'c', 'h']"
go to four locations a b c and d,& F a & F b & F d F c,visit,"['a', 'b', 'd', 'c']"
go to four locations a b h and d,& F a & F b & F d F h,visit,"['a', 'b', 'd', 'h']"
